;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxy
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a 工
fobh 郝
fofo 赫
fou 赤
fovk 塘
fpbe 勃
fpfq 垸
fpgu 壹
fpi 过
fplc 毂
fpof 壶
fpwb 壳
fpxi 索
fqay 坻
fqdm 顽
fqkn 鼋
fqnb 雹
fqpv 远
fqug 均
fqv 无
fqwy 坎
frcy 坂
frgk 垢
frtf 埤
fryy 坼
fsbg 耔
fscn 耙
fsdf 耨
fsen 耗
fsfy 博
fshf 霜
fsjy 耦
fskg 坷
fsng 耜
fssu 霖
fsu 某
fswk 耠
ftbf 孝
ftdv 嫠
fte 才
fter 雾
ftfp 霆
ftgn 考
fthp 埏
ftjf 者
ftmk 垧
ftnf 埠
ftxb 老
fueu 丧
fufj 幸
fujq 境
fukg 培
fulj 增
fulk 啬
fuvf 霎
fvf 雪
fviy 埭
fvph 埽
fwfp 逵
fwnd 堠
fwsy 垛
fwwm 赍
fwyc 零
fwyg 堆
fxet 坳
fybt 墩
fyjj 霁
fyke 壤
fynw 垓
fype 壕
fyrb 垴
fyt 坊
fywn 坑
gabh 邢
gaet 形
gahy 武
gak 开
gakg 瑾
galf 盏
gamd 瑛
gawy 珙
gbk 击
gbnv 屯
gcff 至
gcfj 到
gcgg 玛
gdeg 瑚
gdhy 环
gdi 天
gdju 蚕
gdkf 吞
gdmy 顼
gdnu 忝
gdsk 琦
gdwy 琪
gdxy 珑
gegc 瑗
gekg 珈
gemq 靓
gepi 逐
geqh 静
getb 瑶
geu 表
gfcy 珐
gfk 于
gflf 盂
gfnh 玮
gfpk 迂
gfqn 玩
ggcb 琶
ggey 琢
gggg 王
gghg 五
ggiy 球
ggjf 替
gglj 辇
ggll 一
ggnt 瑟
ggwn 琴
ggxx 琵
ggyy 珏
ghgo 焉
ghi 下
ghkg 玷
ghqo 璨
ghty 政
ghwn 琥
gimy 琐
giyi 求
gjfg 理
gjgf 亘
gjhn 惠
gjri 更
gjxx 琨
gkhe 囊
gklj 副
gkmj 融
gkph 带
gkri 吏
gkuf 豆
gkvh 事
glbj 画
glpy 琏
gmap 遭
gmdj 瑞
gmfd 再
gmmg 珊
gmqn 现
gmqn 规
gmwi 丙
gmyy 丽
gnan 珉
gndg 琚
gngd 与
gngw 欤
gnhc 瑕
gnny 瓦
god 亚
goff 垩
gojf 晋
gonu 恶
gooy 琰
gote 严
goug 璞
govk 瑭
gpfi 琮
gplh 珲
gpqb 琬
gpws 琛
gqbg 殛
gqck 殆
gqe 万
gqeb 殍
gqfh 殖
gqga 残
gqjh 列
gqmd 殃
gqpe 迈
gqqj 殉
gqtf 殊
gquf 殚
gqxv 死
gqyy 玖
grdf 碧
grg 珀
grqc 瑰
gsi 末
gskg 珂
gssy 琳
gtfy 珠
gtgs 珩
gtkg 珞
gtln 璁
gtu 麦
gudi 夹
gufk 平
gujh 璋
gusi 来
gusm 赉
gvhv 妻
gvtr 瑙
gway 玳
gwet 珍
gwgj 瑜
gwvt 玢
gwyc 玲
gxd 互
gxhi 纛
gxiu 素
gxwi 夷
gyck 琉
gygg 斑
gyi 玉
gyiy 琼
gyrc 璃
gytg 班
gyvy 琅
hagd 虐
hagw 瞒
halg 瞄
hary 眍
hckg 眙
hctg 眸
hcwt 睃
hdff 睚
hdhd 非
hdhn 悲
hef 肯
hehc 瞍
hepg 瞬
heqn 睨
hesy 睬
hfcy 歧
hffg 眭
hftj 睹
hfwf 睦
hgbn 盹
hgeg 睛
hgep 遽
hgfh 盱
hghg 凸
hgus 睐
hgvh 睫
hhdm 频
hhgg 上
hhgg 止
hhhh 目
hhll 丨
hhr 步
hhxn 眦
hich 督
hicy 叔
hipf 瞠
hitt 眇
hjg 旧
hjsu 桌
hkay 战
hkf 占
hkgd 虞
hkmq 觇
hknn 乩
hkou 点
hlnf 卣
hlra 鹾
hlru 卤
hmu 贞
hnan 眠
hnbt 瞰
hndn 鼎
hnhg 凹
hni 虑
hnqg 鸬
hnty 瞩
hod 虚
homq 觑
hoqg 瞵
hpdk 瞎
hpju 瞑
hpqn 眈
hqco 粲
hqcv 餐
hqdy 瞻
hqiy 眺
hqqy 眵
hqvh 睁
hrtf 睥
hsfi 瞟
hsh 盯
htgf 睡
htoy 瞅
htpy 眨
hujf 瞳
huxt 睇
hvy 眼
hwbj 齿
hwee 彪
hwgu 瞪
hwu 具
hwyo 瞧
hxdf 砦
hxff 些
hxmu 赀
hxn 此
hxqe 觜
hxsu 柴
hxwy 雌
hxxi 紫
hxyf 訾
hyxy 眩
iada 漭
iag 江
iajd 漠
iaky 灌
iamw 潢
iape 涝
iaqg 鸿
iary 沤
iasu 柒
iatq 浇
iavt 沏
iawy 洪
ibcc 滠
ibet 泐
ibib 涵
ibvf 婆
ibws 滁
iby 波
ibyy 汲
icag 泾
icde 渗
iceh 涌
icgh 泽
ickg 治
icwy 滩
icy 汉
icyy 汊
ideg 湖
idff 涯
idiu 尜
idjn 淹
idlf 湎
idri 源
idtf 涛
idu 尖
idui 潦
idwn 湛
idxy 泷
idyy 汰
iebg 浮
iecn 淝
ieeg 滔
ief 肖
iegg 沮
iehc 溲
iejh 削
iepd 逍
ietf 淫
iexd 溪
ifae 灞
ifcy 法
ifdj 濡
ifh 汗
ifje 潮
ifkg 洁
ifnn 污
ifpe 渤
ifqn 沅
iftj 渚
igay 浅
igbn 沌
igdn 添
igeg 清
ighn 沔
igjg 洹
igkh 滞
igmy 渍
igqb 光
igsy 沫
igud 浃
igwu 兴
ihht 涉
ihic 淑
ihjh 淖
ihkg 沾
ihmy 浈
ihny 滤
ihqg 瀣
ihtf 滹
ihty 小
ihwy 濉
iieg 消
iiii 水
iiiu 淼
iimk 淌
iitt 沙
ijai 瀑
ijlg 温
ijng 溻
ijog 湿
ijqn 渴
ijtl 滥
ijxx 混
ijy 浊
ijym 灏
ikeg 涓
ikhk 潞
ikhm 溃
ikjn 渑
ikks 澡
ikmw 涡
ildg 涸
ileg 渭
ilfh 涠
ilkg 洄
ilpy 涟
ilrh 渐
ilwy 泅
ilxi 漯
imau 澧
imdj 湍
imeg 滑
img 油
imjh 测
imkf 尚
imwn 涔
inan 泯
inbb 潺
infy 漏
ingf 渥
inhg 湄
inmj 涮
inrt 汤
intt 泌
inwy 濯
inxn 泥
iny 沁
ioac 渡
iolw 瀵
iooy 淡
iouw 濂
iovk 溏
ioxx 漉
ipaw 黉
ipbf 学
ipey 浓
ipfc 尝
ipgg 泻
ipiu 泶
ipkh 常
ipkq 党
iplh 浑
ipmq 觉
ipng 涫
ipqn 沈
iprw 滨
ipsh 泞
iptk 喾
ipuh 滓
ipwn 沉
ipxn 沱
iqcy 沟
iqdy 澹
iqiy 洮
iqjg 洵
iqkq 浼
iqmd 涣
iqnn 泡
iqtb 淘
irbh 汹
irde 淆
irey 派
irn 汽
irrh 浙
irwy 浜
iryt 激
isfi 漂
isjh 潭
iskg 河
isrh 淅
issy 淋
iswi 漆
isy 浦
itaj 弊
itbn 沲
itdg 活
ite 少
itfq 洗
itgh 洚
ithf 省
itie 潲
itkg 洛
itlg 洫
itmd 澳
itnu 憋
itol 潘
itpy 泛
itqg 鳖
itsy 涤
itxy 海
iube 溯
iuce 滚
iuej 湔
iuh 洋
iujh 漳
iukg 涪
iusl 澜
iuwl 溢
iuxx 滋
ivaq 溉
ivf 当
ivfy 浔
iviy 渌
ivkg 沼
ivlg 淄
ivpc 浸
ivsu 染
ivws 梁
ivyh 涩
iwbn 沧
iwcy 没
iwef 脊
iwfc 浍
iwgk 洽
iwkg 沿
iwog 濮
iwru 滏
iwvt 汾
iwwk 浴
iwxn 沦
iwyg 淮
ixcy 泓
ixjh 沸
ixty 涨
ixuu 溺
ixwy 潍
iybg 淳
iyck 流
iyey 瀛
iygg 注
iyhy 汴
iyjh 济
iyjh 浏
iylg 澶
iynt 沪
iyox 湾
iype 濠
iyrc 漓
iyth 洲
iyud 滴
iyvy 浪
iywy 液
iyxy 泫
jada 蟒
jaht 蚜
jajg 蜡
jakg 蜮
jalw 蠛
jamw 蟥
jans 蝶
jatq 晓
jatq 蛲
jawi 暴
jbcu 最
jblg 蜢
jcef 肾
jcff 坚
jcfg 蛏
jcgg 蚂
jcmu 贤
jctg 蛑
jcuf 竖
jcxi 紧
jdeg 蝴
jdfe 晨
jdff 蝰
jdhh 蚌
jdnb 晟
jdri 螈
jebg 蜉
jeg 明
jegc 暖
jehc 螋
jelf 盟
jepc 暧
jfch 野
jffg 蛙
jfke 蟛
jfmf 蝻
jftj 暑
jfy 时
jgcf 蛭
jgdu 昊
jgeg 晴
jghm 题
jghu 是
jgjf 量
jgjn 蟪
jgkg 晤
jgmh 师
jgud 蛱
jhet 勖
jhnh 早
jhnr 畅
jieg 蛸
jigq 晃
jipf 螳
jjai 曝
jjf 昌
jjgh 蛳
jjjf 晶
jjqn 蝎
jjsy 蜾
jkgd 蜈
jkjn 蝇
jkmw 蜗
jlcu 曼
jlfj 曙
jlgy 蝈
jlkg 蛔
jlxi 螺
jmag 蛐
jmdy 映
jmfg 蚺
jmhh 帅
jmhp 遇
jmqn 蚬
jmwy 蚋
jnhc 暇
jnpd 遢
jnte 曳
jnv 电
jnwy 曜
jnxn 昵
jof 显
jovg 蝼
jpgg 暄
jpju 螟
jplj 晕
jpqb 蜿
jpvf 晏
jpxn 蛇
jqbj 昂
jqdy 蟾
jqiu 晁
jqkq 晚
jqkq 冕
jqrr 易
jqtb 昴
jqug 昀
jqwp 遏
jrgg 蝗
jrtf 蜱
jsdm 颗
jsfi 螵
jsi 果
jskg 蚵
jsqq 夥
jsrh 晰
jtdh 蜂
jtfy 蛛
jtgf 星
jthf 昨
jtmk 晌
jtnn 虼
jtry 蛾
jtuf 蝌
jtxy 晦
jtyq 鉴
jtyq 览
jujf 蝉
jujg 暗
jukq 蜕
junn 蜣
jury 蛟
jusg 蝤
juuk 蟮
jvg 归
jvkg 昭
jwcy 蚣
jwgk 蛤
jwjh 蚧
jwxf 晔
jxet 蚴
jxhh 蚓
jxxb 昆
jxxn 蚍
jybt 暾
jygg 蛀
jyie 影
jyiu 景
jyjh 蛴
jyke 曩
jyna 蝙
jyry 蚁
jytb 蝣
jyuy 螃
jyvb 螂
jyxf 蟀
kadk 喏
kafe 嘞
kagg 哐
kaht 呀
kajn 噶
kalg 喵
kamh 咂
kape 唠
kary 哎
katq 哓
kawy 哄
kayk 嚆
kbcc 嗫
kbmh 咄
kbnn 吼
kbsk 啊
kbyy 吸
kccs 嗓
kcep 嗵
kcgg 吗
kcn 吧
kcqn 吮
kctd 唉
kcwt 唆
kdbn 呃
kdet 呖
kdff 喹
kdha 嘎
kdjf 喱
kdmy 顺
kdoy 咴
kdpy 哒
kdwr 嘶
kdxy 咙
kegg 咀
kehc 嗖
kejh 别
kekg 咖
kelf 嚼
kepc 嗳
keqg 鹃
ker 另
kfam 喷
kfcy 吱
kfdj 嚅
kffg 哇
kfh 叶
kfhw 嗔
kfje 嘲
kfkk 嘻
kflb 鄙
kfmf 喃
kfoy 哧
kfpu 噎
kfqn 呒
kftb 哮
kfwy 嚯
kgbn 吨
kgdu 吴
kgey 啄
kghy 吓
kgjr 哽
kgnb 号
kgnv 饕
kgog 哑
kgpd 逞
kgty 唛
khan 距
khce 踊
khdn 跨
kheg 啃
khff 跬
khga 践
khhg 趾
khij 踏
khjr 踢
khk 中
khks 躁
khlf 盅
khme 蹦
khnu 忠
khog 嘘
khpi 踪
khqn 跑
khrm 踬
khtk 路
khu 足
khvy 跟
khwy 趴
khxe 嘴
kiby 啵
kieg 哨
kigq 咣
kimy 唢
kitt 吵
kitx 嗨
kjbc 嘬
kjfg 哩
kjhh 呻
kjjg 唱
kjmy 喁
kjnb 黾
kjqn 喝
kju 虽
kkcg 骂
kkdk 器
kkf 吕
kkfb 鄂
kkhk 串
kkkf 品
kkln 鼍
kkwb 咒
kldy 咽
kleg 喟
klfo 嘿
klge 喂
kmak 嗣
kmbh 郧
kmdj 喘
kmet 勋
kmfk 啁
kmhj 吊
kmmv 嘤
kmqy 哕
kmu 员
kmwy 呐
kngg 叼
knhh 叫
knku 噼
knmj 唰
knty 嘱
knxn 呢
kooy 啖
koss 嘛
koug 噗
kovg 喽
kpaf 噻
kpey 哝
kpgg 喧
kpgh 啶
kpnm 嘧
kpsh 咛
kptk 喀
kpwi 嚓
kqb 兄
kqgg 鸣
kqmd 唤
kqnn 咆
kqqy 哆
kqrt 吻
kqtb 啕
kqwy 吹
kran 唣
krcy 呱
krey 哌
krh 听
krrg 啪
krtf 啤
krug 啦
ksfi 嘌
ksjg 喳
kskg 呵
kssi 噤
ksu 呆
ktaw 噬
ktgf 唾
kthg 咱
ktkg 咯
ktmk 响
ktng 呜
ktnn 吃
ktoy 啾
ktry 哦
ktuf 呼
kuag 嗟
kube 嗍
kujg 喑
kulj 噌
kury 咬
kuvg 唼
kuwl 嗌
kvbh 唧
kvcy 呶
kvhw 啸
kwbn 呛
kwcn 嗡
kwfy 咐
kwgk 哈
kwrq 嗲
kwsy 咻
kwu 只
kwvt 吩
kwwf 唑
kwxf 哗
kxet 呦
kxhh 吲
kxqy 哟
kybh 哼
kyce 唷
kyg 唁
kyjh 哜
kyke 嚷
kyni 咏
kype 嚎
kytd 嗾
kyuh 啼
kyvb 啷
kywn 吭
laay 轼
lafg 羁
lbnn 辄
lbwf 墼
lcag 轻
lccu 轰
ldbn 轭
lded 囿
ldhu 罘
ldi 因
ldjn 罨
ldnu 恩
ldsk 畸
ldtf 畴
ldwd 辏
ler 男
leve 嬲
lfcu 罢
lffg 畦
lfke 辕
lfmf 罱
lfny 转
lfou 黑
lfqv 园
lfte 团
lftj 署
lfuf 圉
lgbn 囤
lgcf 轾
lgeu 畏
lghf 罡
lgjj 畀
lgkl 辐
lgmw 辆
lgnh 车
lgyi 国
lhdd 罪
lhjj 罩
lhng 四
lhng 皿
ljxx 辊
lkbg 辑
lkd 回
lkmi 圆
lkwy 轵
llge 圜
llll 田
lmg 轴
lmun 辋
lnae 辗
lnu 思
lnwy 罹
loqg 辚
loxx 辘
lpdk 辖
lpk 连
lpqb 畹
lqgg 鸭
lqju 蜀
lqpi 逻
lqre 囫
lqu 罗
lqwy 软
lrcy 畈
lrff 堑
lrh 斩
lrjf 暂
lrqf 錾
lrsu 椠
lsi 困
lskg 轲
ltdj 轿
ltgy 轶
ltkg 略
ltkg 辂
ltni 轹
ltui 图
lugh 畔
lujf 疃
lulj 罾
lury 较
lvkg 轺
lvlg 辎
lvn 轨
lvyy 轫
lwet 轸
lwgj 输
lwjj 界
lwxn 轮
lwyc 囹
lxiu 累
lxxn 毗
lyct 辙
lyjj 罚
mad 曲
madt 贼
maht 岈
maiu 岽
mary 岖
mawu 典
mbh 邮
mbyu 岌
mcgh 峄
mckg 贻
mcwt 峻
mdeg 贿
mdhb 酆
mdi 央
mdjn 崦
mdlf 盎
mdmm 颛
mdou 炭
mdqg 鸯
mdsk 崎
medp 髓
meef 崩
mef 骨
mejs 髁
melj 髑
meov 髅
meqg 鹘
merf 髀
metk 骼
mewc 骰
meyw 骸
mfcy 岐
mffy 峙
mfhm 巅
mfkd 周
mfnd 赎
mfqw 嵌
mftj 赌
mftt 财
mgay 赋
mgay 贱
mgee 豳
mgiy 赇
mgkd 同
mgng 屿
mgud 峡
mhby 帔
mhdf 帱
mhfh 帏
mhgl 幅
mhhm 帧
mhjh 帽
mhly 帼
mhng 由
mhog 幞
mhrg 帕
mhty 帐
mhuf 幢
mhwy 帆
mieg 峭
miwe 嵴
mjh 则
mjqr 赐
mjvf 岿
mkpd 迥
mkqn 贶
mldf 崮
mlnu 崽
mlrj 崭
mmgd 册
mmmm 山
mmqn 岘
mmru 岗
mmtb 罂
mmvf 婴
mnan 岷
mnb 岂
mnbm 崛
mnhg 嵋
mnjh 剀
mnmq 觊
mnwn 凯
mnyu 赆
mofg 赃
mooy 赕
moqg 嶙
movg 嵝
mpd 迪
mpfi 崇
mpgg 贮
mpwa 崆
mqb 见
mqcy 购
mqdy 赡
mqjg 峋
mqkg 岣
mqtb 峁
mqvh 峥
mrcy 贩
mrde 崤
mri 冈
mrjh 刚
mrqc 嵬
mrri 网
msfy 赙
mskf 岢
msvg 崾
mswc 崧
mtay 账
mtdh 峰
mtkg 赂
mtnn 屹
mtpy 贬
mtry 峨
mtux 嵊
mtvc 巍
mty 败
muag 嵯
mujh 嶂
mukg 赔
mulj 赠
muvw 赚
muxx 嵫
muyn 罔
mwfi 赊
mwgj 嵛
mwi 内
mwru 岚
mwwi 肉
mwyf 崔
mxth 嶷
mxxi 幽
mybg 崞
myd 丹
myet 彤
mymk 嵩
mynw 赅
naei 展
nagd 惬
naj 异
nalh 懵
nanv 屉
nary 怄
natf 懂
nav 民
nawc 殿
nayk 慌
nbbb 孱
nbcc 慑
nbmk 屈
nbsk 屙
nbtn 憨
nbty 敢
ncde 惨
ncfg 怪
ncgh 怿
nckg 怡
ncwt 悛
ndae 惰
ndd 居
nddy 恹
ndhy 怀
ndjh 剧
ndmh 怖
ndny 忧
ndoy 恢
nev 尾
nfam 愤
nfci 层
nfdj 懦
nffy 恃
nfhw 慎
nfin 慰
nfpk 迅
nfqn 怃
nftj 屠
nfu 导
nfuf 悻
ngbh 那
ngcf 屋
ngeg 情
nghg 怔
ngjg 恒
ngkd 司
nguf 怦
ngxi 愫
nhef 胥
nhfp 遐
nhgg 丑
nhju 蛋
nhqg 鹛
nhty 收
nhwy 惧
nhyk 疏
nieg 悄
nigq 恍
nii 尿
nimk 惝
nitg 犀
njcf 悭
njfh 悍
njgg 怛
njlc 慢
njlg 愠
njqr 惕
njtg 惺
njyi 憬
nkcn 悒
nkhh 忡
nkkn 愕
nkue 臂
nkup 避
nlaw 翼
nlrh 惭
nlsy 悃
nlyt 愣
nmd 届
nmdj 惴
nmfk 惆
nmgk 恫
nmhj 刷
nmjh 恻
nmnn 恺
nmun 惘
nnaw 巽
nnde 毋
nngn 己
nnhy 书
nnkd 局
nnll 乙
nnnn 已
nnwy 快
nnxn 怩
nnyg 羽
nohk 惦
novd 屡
nplh 恽
npqb 惋
npqn 忱
nqeg 懈
nqjg 恂
nqrn 惚
nrg 怕
nrgg 惶
nrqc 愧
nskg 悚
nskm 懒
nssh 憷
nsyy 怵
ntay 怅
ntbg 悸
ntcy 发
ntdg 恬
ntfh 忏
ntgg 性
ntji 虱
ntky 属
ntlg 恤
ntmd 懊
nttt 履
ntxy 悔
nty 改
nuak 屏
nud 习
nudu 买
nujf 惮
nukq 悦
nulj 憎
nuuu 羼
nuvw 慊
nuxt 悌
nuyy 悯
nvaq 慨
nvkg 怊
nvy 恨
nwbn 怆
nwcy 忪
nwea 戮
nwgj 愉
nwgk 恰
nwyg 惟
nxjh 怫
nxmy 惯
nxv 尼
nxxv 屁
nyhy 忭
nyjg 昼
nykw 咫
nyli 懔
nynn 忙
nyny 心
nypi 迟
nyrb 恼
nyuu 尽
nywf 翠
nywy 以
oaci 度
oakg 廑
oamh 席
oang 炬
oaoi 庶
oatq 烧
oawu 粪
obg 籽
obxb 鬯
ocag 烃
ocde 糁
ocnh 序
odeg 糊
odjn 庵
odmy 烦
odu 类
odui 燎
odxy 庞
oegg 粗
oelf 爝
oewi 庾
ofci 庋
ofd 庄
ofdj 糯
ofnh 炜
ofqv 庑
ofsy 煤
oftn 烤
ogbn 炖
ogeg 精
ogjr 粳
ogkg 焐
ogmw 炳
ogqt 廒
ohhg 业
ohjh 焯
ohkd 店
oidy 黻
oigd 应
oisy 黼
oitt 炒
ojai 爆
ojfh 焊
ojlc 熳
ojug 煜
ojy 烛
okks 燥
okwy 炽
oldy 烟
olge 煨
olk 库
omh 灿
omkg 炯
onhe 糈
onrh 断
onty 废
onwy 炔
onyu 烬
oobh 郯
oojh 剡
oooo 火
oou 炎
oovk 糖
opfq 烷
opgg 煊
opi 迷
opwk 熔
oqay 底
oqdo 燃
oqeg 焰
oqgb 粼
oqmd 焕
oqnn 炮
oqwy 炊
oqyy 灼
ordh 烯
org 粕
orgg 煌
ortf 庳
osi 床
ossi 麻
otdh 烽
otfp 庭
otfp 糙
othf 炸
otkg 烙
otmd 燠
otni 烁
otol 燔
otuf 烀
oudg 烂
ouep 燧
oufh 料
oug 粒
ougo 糕
ouny 焖
ouvw 廉
ouxx 糍
oveh 庸
ovhk 唐
ovii 康
ovpy 煺
ovty 数
ovwi 庚
owbn 炝
owfi 府
ownd 糇
owsi 庥
owvt 粉
owwf 座
owxf 烨
owyk 焓
oxkj 糨
oxxv 鹿
oxxv 庇
oybb 廓
oygg 炷
oygt 广
oyli 廪
oynt 炉
oyty 米
oyuk 熵
oyvy 粮
oywn 炕
oyxy 炫
oyyy 灬
pahh 宦
pajd 寞
pamq 宽
pawm 赛
pawu 寒
pbf 字
pdcu 宏
pdev 寡
pdhk 害
pdhk 豁
pdsk 寄
pdui 寮
pdxy 宠
pegf 宜
pei 农
pfiu 宗
pfqb 完
pfu 守
pgcf 室
pgeu 家
pgey 冢
pgfj 宇
pghu 定
pgjg 宣
pgkl 富
pgmw 寅
pgng 写
pgyu 宝
phic 寂
pief 宵
pjdh 幂
pjhj 审
pjmy 寓
pjuu 冥
pjvf 宴
pkkf 宫
plbh 郓
plge 寰
plj 军
pmf 宙
pnej 甯
pnf 官
pnpd 逭
pntm 密
pnwe 寥
pou 灾
pppp 之
pqbb 宛
pqbj 剜
pqky 冤
pqqg 鸩
prwu 宾
psj 宁
ptab 宅
ptfq 宪
ptgj 牢
ptkf 客
ptkm 额
puak 褡
puby 被
pudf 褥
pudu 实
puet 衫
pufj 褚
pugs 袜
puhy 补
puiv 裆
pukg 裎
pulp 裢
pumg 袖
puol 裤
puqn 袍
purf 裨
pusi 襟
putd 袄
puvt 初
puwk 裕
puxj 襁
puya 褊
pvf 安
pvsu 案
pwaf 空
pwdu 突
pwer 穷
pwfj 罕
pwgq 窥
pwjs 窠
pwkw 窝
pwmh 帘
pwnm 窟
pwov 窭
pwqi 窕
pwry 窳
pwtq 窗
pwvb 究
pwwk 容
pwxb 穹
pwyg 鹤
pxb 它
pybh 祁
pydf 祷
pyeg 祖
pyfg 社
pygl 福
pyjh 神
pykq 祝
pymq 视
pyrh 祈
pytf 祚
pyuh 祥
pyvi 禄
pyye 禳
qadk 锘
qahb 铘
qajg 错
qakg 钷
qalg 锚
qape 铹
qatq 铙
qav 氏
qawc 镬
qayb 邸
qbcc 镊
qblg 锰
qbnu 怨
qbpk 迎
qbqg 鸳
qbsk 锕
qcb 色
qcgh 铎
qcyy 钗
qdbb 危
qdcy 钹
qdeg 铕
qdfa 锛
qdhd 锲
qdmh 钸
qdnn 铖
qdou 然
qdtf 铸
qdui 镣
qdwy 詹
qdyy 钛
qefy 锊
qehc 锼
qeiq 觥
qej 角
qejy 触
qenw 觖
qery 觚
qesk 觫
qeuf 斛
qevg 解
qfh 针
qfhw 镇
qflg 镭
qftj 锗
qgay 钱
qgbh 印
qgjf 鲁
qgln 鳃
qgmk 鲷
qgnj 鲺
qgog 鳞
qgpx 鸵
qgqn 鲍
qgrg 鳇
qguh 鲜
qgvb 鲫
qgyi 鲸
qhkg 钻
qhy 外
qieg 销
qifc 鼗
qigy 玺
qimy 锁
qinr 铴
qipi 逃
qitt 钞
qiu 尔
qivg 铛
qjbh 郇
qjcf 铿
qjd 旬
qjfg 锂
qjgf 锝
qjlc 镘
qjnb 龟
qjqr 锡
qjsy 锞
qjxx 锟
qkeu 象
qkf 名
qkgg 锃
qkkg 铝
qkmw 锅
qkqb 免
qld 甸
qldg 锢
qlny 锶
qlpy 链
qlqy 锣
qlxi 镙
qmdu 奂
qmjh 铡
qmnn 铠
qmry 钢
qmu 负
qmwy 钠
qnaq 饶
qnck 饴
qndg 锯
qnev 馁
qnfb 饽
qnga 饯
qnhg 钮
qnjy 蚀
qnkm 馈
qnpn 馆
qnqw 饮
qnrc 饭
qnsg 馇
qnth 饰
qnua 饼
qnv 包
qnwn 饥
qnxn 铌
qoac 镀
qooy 锬
qou 炙
qovg 镂
qoxo 镳
qpgh 锭
qprw 镔
qpvg 铵
qpxn 铊
qqcy 钩
qqgj 镥
qqiy 铫
qqkg 铭
qqqq 金
qqrn 锪
qqtb 铆
qqu 多
qqug 钧
qqvh 铮
qqwy 钦
qqyy 钓
qrbk 匈
qrcy 钣
qre 勿
qrjh 刎
qrmh 锦
qrnu 忽
qrqw 锨
qrsy 铩
qryi 匆
qsfi 镖
qsgg 钵
qsh 钉
qsjh 镡
qskg 钶
qtal 猫
qtbn 犯
qtcg 犸
qtdh 锋
qteg 狙
qtfe 猿
qtgy 铁
qthc 锻
qtjy 独
qtkg 铬
qtle 猥
qtmy 狈
qtn 儿
qtoy 狄
qtps 狞
qtqk 狗
qtry 狐
qtsm 獭
qttj 猁
qtur 狡
qtvy 狠
qtwd 猴
qtyd 狱
qud 匀
qufh 钭
qugd 镁
qujq 镜
qukq 锐
quoj 镨
quqf 锵
qury 铰
qusl 镧
qutt 铲
quwl 镒
quxt 锑
qvbh 邹
qvhj 争
qvkg 铷
qvlg 锱
qvnu 急
qvpc 锓
qvto 煞
qvwy 雏
qwkg 铅
qwu 欠
qwwf 锉
qwxf 铧
qwyg 锥
qxjm 镄
qxkj 镪
qxxr 锴
qybt 镦
qyey 铱
qyi 久
qyke 镶
qymk 镐
qyou 灸
qyuy 镑
qyvm 贸
qywn 钪
qyxy 铉
raay 拭
raet 撒
rajg 措
ralg 描
rang 拒
rape 捞
rary 抠
ratq 挠
rawy 拱
ray 找
rbbh 揶
rbcc 摄
rbcy 报
rbig 拯
rbmh 拙
rcad 氢
rccc 掇
rcde 掺
rceh 捅
rcgh 择
rci 反
rckg 抬
rcpi 返
rctd 挨
rcwy 摊
rcyi 瓜
rdbn 扼
rdcy 拔
rdef 肴
rdfn 挎
rdg 拓
rdgn 撼
rdjn 掩
rdmh 希
rdny 扰
rdpy 挞
rdqv 氪
rdsk 掎
rdui 撩
rdwg 捧
rdxy 拢
reee 撬
refy 捋
regc 援
reh 拥
rehc 搜
repc 授
retb 摇
rfcy 技
rffy 持
rfhd 盾
rfjf 擀
rfkg 拮
rflg 擂
rfmi 质
rfny 抟
rfpy 挝
rfqn 抚
rftn 拷
rfwy 攉
rgbv 卮
rgdn 掭
rged 氰
rggl 撵
rghg 扌
rgkd 后
rgod 氩
rgpd 遑
rgsy 抹
rgud 挟
rgvh 捷
rhdd 排
rhet 掳
rhf 看
rhhc 攫
rhjh 掉
rhkg 拈
rhny 摅
rieg 捎
ripr 撑
ritt 抄
riu 泉
rivg 挡
rjbc 撮
rjfg 捏
rjgg 担
rjgh 提
rjld 氲
rjnt 拽
rjqn 揭
rjtq 揽
rkbg 揖
rkcn 挹
rkeg 捐
rkg 扣
rkhy 捉
rkmy 损
rldi 氤
rlfc 摆
rlh 押
rlsy 捆
rltk 撂
rlxi 摞
rmdj 揣
rmg 抽
rmhj 帛
rmmv 撄
rmnn 皑
rmwy 摧
rnan 抿
rnbm 掘
rndg 据
rngf 握
rnhg 扭
rnku 擗
rnrh 所
rnrt 扬
rnty 拨
rnua 摒
rnwy 抉
rnyw 拟
roao 摭
rohk 掂
rooi 氮
rot 扩
rovg 搂
rpfq 皖
rpgg 揎
rpk 近
rplh 挥
rprw 摈
rpsh 拧
rpvg 按
rpwa 控
rqay 抵
rqbh 抑
rqci 鬼
rqeg 掐
rqgj 撸
rqiy 挑
rqkg 拘
rqmd 换
rqmh 捣
rqnn 抱
rqoy 掬
rqqw 揿
rqtb 掏
rqvh 挣
rqwy 欣
rqyy 的
rrcy 扳
rrh 折
